,ticker,open,high,low,close,volume,value
2022-04-19 09:00:00,KRW-ETH,3808000.0,3879000.0,3770000.0,3845000.0,34143.66389879,130765819449.80804
2022-04-20 09:00:00,KRW-ETH,3846000.0,3919000.0,3792000.0,3823000.0,27374.73284002,105442875138.01099
2022-04-21 09:00:00,KRW-ETH,3823000.0,3925000.0,3719000.0,3751000.0,34359.07120923,131807019995.14445
2022-04-22 09:00:00,KRW-ETH,3751000.0,3776000.0,3695000.0,3720000.0,25711.28886244,96199345300.47429
2022-04-23 09:00:00,KRW-ETH,3720000.0,3740000.0,3671000.0,3702000.0,13455.52258428,49989089445.94153
2022-04-24 09:00:00,KRW-ETH,3702000.0,3724000.0,3670000.0,3677000.0,14905.4264984,55135258619.85614
2022-04-25 09:00:00,KRW-ETH,3677000.0,3798000.0,3551000.0,3765000.0,42520.39062027,154908103038.55774
2022-04-26 09:00:00,KRW-ETH,3766000.0,3799000.0,3553000.0,3596000.0,39317.76054752,144903248081.44562
2022-04-27 09:00:00,KRW-ETH,3597000.0,3702000.0,3580000.0,3677000.0,24282.80747333,88548828688.10548
2022-04-28 09:00:00,KRW-ETH,3677000.0,3786000.0,3646000.0,3737000.0,26791.87550921,99426527734.26614
2022-04-29 09:00:00,KRW-ETH,3737000.0,3753000.0,3603000.0,3628000.0,26801.56704786,98394104872.86331
2022-04-30 09:00:00,KRW-ETH,3630000.0,3656000.0,3564000.0,3570000.0,17625.43521376,63781250319.53114
2022-05-01 09:00:00,KRW-ETH,3570000.0,3650000.0,3530000.0,3625000.0,23539.08408716,84345421231.71576
2022-05-02 09:00:00,KRW-ETH,3625000.0,3690000.0,3575000.0,3668000.0,28558.40556765,103782174253.9549
2022-05-03 09:00:00,KRW-ETH,3667000.0,3675000.0,3570000.0,3592000.0,22905.50654984,83070066416.85416
2022-05-04 09:00:00,KRW-ETH,3595000.0,3783000.0,3585000.0,3751000.0,32342.58245616,118580165966.56248
2022-05-05 09:00:00,KRW-ETH,3752000.0,3775000.0,3525000.0,3576000.0,44544.97316833,162081920675.23267
2022-05-06 09:00:00,KRW-ETH,3576000.0,3589000.0,3445000.0,3516000.0,35364.11836744,124285381802.65521
2022-05-07 09:00:00,KRW-ETH,3516000.0,3519000.0,3425000.0,3456000.0,15633.49455129,54460035759.33753
2022-05-08 09:00:00,KRW-ETH,3456000.0,3463000.0,3301000.0,3327000.0,24751.44683502,83271690093.67587
2022-01-29 09:00:00,KRW-NEO,23510.0,24190.0,23440.0,23950.0,224215.32303072,5332477456.235489
2022-01-30 09:00:00,KRW-NEO,23950.0,24980.0,23660.0,24420.0,319701.82196025,7809493180.91365
2022-01-31 09:00:00,KRW-NEO,24430.0,24490.0,23200.0,24250.0,272206.73023235,6449896833.865573
2022-02-01 09:00:00,KRW-NEO,24240.0,25160.0,24140.0,24570.0,208549.1669826,5145935115.87536
2022-02-02 09:00:00,KRW-NEO,24570.0,29500.0,24540.0,24800.0,2328782.00441696,61109784458.32828
2022-02-03 09:00:00,KRW-NEO,24800.0,25350.0,23730.0,24800.0,402229.97552527,9810217544.423365
2022-02-04 09:00:00,KRW-NEO,24840.0,27800.0,24670.0,27320.0,1497957.19350991,39791212401.04274
2022-02-05 09:00:00,KRW-NEO,27340.0,28080.0,26820.0,27250.0,620801.5103042,17082920091.576569
2022-02-06 09:00:00,KRW-NEO,27250.0,27710.0,26390.0,27550.0,365858.57015773,9942771051.167564
2022-02-07 09:00:00,KRW-NEO,27550.0,29500.0,27100.0,29090.0,892703.12573581,25429677021.443386
2022-02-08 09:00:00,KRW-NEO,29110.0,29750.0,26500.0,28110.0,662364.44967033,18708146693.23221
2022-02-09 09:00:00,KRW-NEO,28200.0,29250.0,27300.0,29040.0,436035.96932125,12379486176.167738
2022-02-10 09:00:00,KRW-NEO,29060.0,31480.0,28990.0,29080.0,1621938.76281664,48974875288.778465
2022-02-11 09:00:00,KRW-NEO,29070.0,31430.0,26500.0,27230.0,996288.70040531,29352843242.412926
2022-02-12 09:00:00,KRW-NEO,27220.0,27400.0,25810.0,26300.0,414131.23585681,11022702204.062675
2022-02-13 09:00:00,KRW-NEO,26280.0,27150.0,26000.0,26670.0,272166.27795228,7242506616.674062
2022-02-14 09:00:00,KRW-NEO,26670.0,26770.0,25290.0,25870.0,258892.73558597,6689321907.457943
2022-02-15 09:00:00,KRW-NEO,25850.0,27530.0,25850.0,27350.0,395605.5579303,10685872931.972038
2022-02-16 09:00:00,KRW-NEO,27350.0,31640.0,27120.0,31260.0,4077140.81721012,121601412895.7032
2022-02-17 09:00:00,KRW-NEO,31270.0,31470.0,28500.0,28820.0,2041870.15172554,61596074953.18318
2022-02-18 09:00:00,KRW-NEO,28830.0,33400.0,28470.0,32130.0,5567744.71987217,176509968970.49747
2022-02-19 09:00:00,KRW-NEO,32130.0,33680.0,29850.0,30590.0,3273967.06177745,104450310111.96591
