,open,high,low,close,volume,value
2022-06-06 18:52:00+00:00,39549000.0,39555000.0,39537000.0,39550000.0,0.35439994,14014485.52985
2022-06-06 18:53:00+00:00,39550000.0,39579000.0,39532000.0,39579000.0,2.94352322,116446949.71563
2022-06-06 18:54:00+00:00,39559000.0,39580000.0,39537000.0,39537000.0,2.0322809,80398259.85965
2022-06-06 18:55:00+00:00,39537000.0,39555000.0,39513000.0,39528000.0,2.80683091,110967281.93336
2022-06-06 18:56:00+00:00,39528000.0,39538000.0,39506000.0,39529000.0,1.35508366,53559577.50449
2022-06-06 18:57:00+00:00,39529000.0,39531000.0,39506000.0,39506000.0,0.79514668,31416473.05082
2022-06-06 18:58:00+00:00,39507000.0,39550000.0,39503000.0,39550000.0,1.98378802,78397458.12731
2022-06-06 18:59:00+00:00,39550000.0,39572000.0,39526000.0,39561000.0,2.16162929,85486352.81655
2022-06-06 19:00:00+00:00,39561000.0,39579000.0,39542000.0,39542000.0,1.17100767,46326164.94699
2022-06-06 19:01:00+00:00,39542000.0,39569000.0,39521000.0,39542000.0,1.1652287,46084702.85151
2022-06-06 19:02:00+00:00,39542000.0,39577000.0,39534000.0,39575000.0,3.0457254,120525276.8967
2022-06-06 19:03:00+00:00,39541000.0,39587000.0,39541000.0,39587000.0,3.57635831,141539996.58228
2022-06-06 19:04:00+00:00,39587000.0,39591000.0,39541000.0,39555000.0,1.35080381,53452459.88493
2022-06-06 19:05:00+00:00,39542000.0,39556000.0,39525000.0,39528000.0,1.21097491,47887663.02174
2022-06-06 19:06:00+00:00,39550000.0,39550000.0,39519000.0,39521000.0,0.84950559,33577032.44489
2022-06-06 19:07:00+00:00,39521000.0,39529000.0,39503000.0,39503000.0,0.87995738,34770754.06521
2022-06-06 19:08:00+00:00,39503000.0,39528000.0,39502000.0,39527000.0,0.79404011,31370227.10022
2022-06-06 19:09:00+00:00,39504000.0,39527000.0,39501000.0,39501000.0,0.18851631,7447261.31123
2022-06-06 19:10:00+00:00,39504000.0,39505000.0,39490000.0,39492000.0,0.79081589,31238145.30797
2022-06-06 19:11:00+00:00,39490000.0,39500000.0,39476000.0,39477000.0,2.88364411,113859100.78423
2022-06-06 19:12:00+00:00,39483000.0,39495000.0,39477000.0,39478000.0,1.08014329,42649656.02439
2022-06-06 19:13:00+00:00,39477000.0,39500000.0,39477000.0,39500000.0,2.55165091,100778071.37463
2022-06-06 19:14:00+00:00,39500000.0,39519000.0,39495000.0,39519000.0,1.73187279,68414922.26892
2022-06-06 19:15:00+00:00,39519000.0,39519000.0,39495000.0,39511000.0,1.02924396,40656158.48756
2022-06-06 19:16:00+00:00,39511000.0,39511000.0,39490000.0,39490000.0,0.11795003,4658747.62019
2022-06-06 19:17:00+00:00,39490000.0,39491000.0,39477000.0,39479000.0,1.4457609,57081726.01212
2022-06-06 19:18:00+00:00,39489000.0,39491000.0,39477000.0,39477000.0,1.00129514,39533950.57994
2022-06-06 19:19:00+00:00,39478000.0,39491000.0,39477000.0,39478000.0,1.59856021,63110724.86561
2022-06-06 19:20:00+00:00,39478000.0,39488000.0,39478000.0,39480000.0,0.47638932,18807675.28953
2022-06-06 19:21:00+00:00,39480000.0,39499000.0,39477000.0,39485000.0,1.8234017,71997265.33671
2022-06-06 19:22:00+00:00,39500000.0,39500000.0,39478000.0,39479000.0,0.91564389,36157671.44644
2022-06-06 19:23:00+00:00,39485000.0,39500000.0,39470000.0,39499000.0,7.29435228,287994326.34417
2022-06-06 19:24:00+00:00,39499000.0,39507000.0,39472000.0,39483000.0,1.93225804,76311669.58793
2022-06-06 19:25:00+00:00,39483000.0,39516000.0,39483000.0,39508000.0,1.02488292,40475387.72921
2022-06-06 19:26:00+00:00,39490000.0,39519000.0,39490000.0,39508000.0,1.17250568,46323032.7726
2022-06-06 19:27:00+00:00,39508000.0,39523000.0,39490000.0,39490000.0,1.18890824,46967527.46222
2022-06-06 19:28:00+00:00,39507000.0,39507000.0,39472000.0,39476000.0,0.58599742,23139690.06158
2022-06-06 19:29:00+00:00,39476000.0,39503000.0,39476000.0,39488000.0,0.25265834,9976394.21188
2022-06-06 19:30:00+00:00,39488000.0,39505000.0,39488000.0,39488000.0,2.67221116,105552920.1141
2022-06-06 19:31:00+00:00,39478000.0,39488000.0,39470000.0,39471000.0,2.00956331,79329138.2189
2022-06-06 19:32:00+00:00,39470000.0,39481000.0,39463000.0,39480000.0,1.2611216,49772098.21868
2022-06-06 19:33:00+00:00,39463000.0,39500000.0,39463000.0,39465000.0,2.08656172,82354554.94689
2022-06-06 19:34:00+00:00,39465000.0,39505000.0,39463000.0,39490000.0,2.22302717,87761274.5835
2022-06-06 19:35:00+00:00,39490000.0,39506000.0,39474000.0,39503000.0,1.25044692,49388047.53039
2022-06-06 19:36:00+00:00,39503000.0,39506000.0,39481000.0,39485000.0,1.16863417,46154331.71409
2022-06-06 19:37:00+00:00,39505000.0,39509000.0,39474000.0,39477000.0,2.58336068,102006646.15807
2022-06-06 19:38:00+00:00,39477000.0,39503000.0,39470000.0,39484000.0,1.42574696,56285837.42509
2022-06-06 19:39:00+00:00,39471000.0,39500000.0,39470000.0,39499000.0,1.7983385,71004144.31413
2022-06-06 19:40:00+00:00,39499000.0,39529000.0,39491000.0,39527000.0,2.21877799,87685316.91271
2022-06-06 19:41:00+00:00,39527000.0,39529000.0,39499000.0,39527000.0,0.25836274,10209016.9874
2022-06-06 19:42:00+00:00,39503000.0,39529000.0,39503000.0,39525000.0,1.03095234,40744199.11082
2022-06-06 19:43:00+00:00,39505000.0,39526000.0,39505000.0,39521000.0,0.54053602,21358519.10984
2022-06-06 19:44:00+00:00,39506000.0,39524000.0,39506000.0,39521000.0,0.95491827,37739042.95719
2022-06-06 19:45:00+00:00,39510000.0,39550000.0,39507000.0,39550000.0,2.89735766,114545290.50688
2022-06-06 19:46:00+00:00,39550000.0,39572000.0,39546000.0,39553000.0,2.34875015,92904743.71084
2022-06-06 19:47:00+00:00,39553000.0,39575000.0,39531000.0,39575000.0,2.07757948,82179969.76538
2022-06-06 19:48:00+00:00,39575000.0,39577000.0,39532000.0,39533000.0,3.60650817,142657252.11235
2022-06-06 19:49:00+00:00,39532000.0,39579000.0,39532000.0,39574000.0,2.72464567,107802646.60506
2022-06-06 19:50:00+00:00,39555000.0,39579000.0,39555000.0,39577000.0,1.68285727,66599652.29672
2022-06-06 19:51:00+00:00,39577000.0,39577000.0,39575000.0,39577000.0,0.65317037,25849914.36668
2022-06-06 19:52:00+00:00,39576000.0,39577000.0,39538000.0,39573000.0,0.51673008,20443820.08671
2022-06-06 19:53:00+00:00,39558000.0,39581000.0,39558000.0,39578000.0,1.11345113,44064399.75283
2022-06-06 19:54:00+00:00,39558000.0,39581000.0,39558000.0,39576000.0,1.43341403,56709823.19637
2022-06-06 19:55:00+00:00,39576000.0,39580000.0,39558000.0,39560000.0,1.0081263,39898414.07802
2022-06-06 19:56:00+00:00,39576000.0,39576000.0,39558000.0,39572000.0,0.33346067,13195983.65384
2022-06-06 19:57:00+00:00,39560000.0,39565000.0,39537000.0,39537000.0,1.73419305,68602027.99951
2022-06-06 19:58:00+00:00,39537000.0,39566000.0,39532000.0,39555000.0,0.82227978,32527958.2264
2022-06-06 19:59:00+00:00,39554000.0,39555000.0,39532000.0,39537000.0,2.27381528,89905648.45903
2022-06-06 20:00:00+00:00,39537000.0,39553000.0,39537000.0,39540000.0,2.22142,87834595.52995
2022-06-06 20:01:00+00:00,39540000.0,39553000.0,39539000.0,39540000.0,2.74309856,108462870.63268
2022-06-06 20:02:00+00:00,39540000.0,39540000.0,39538000.0,39538000.0,1.4922274,59002340.1332
2022-06-06 20:03:00+00:00,39540000.0,39540000.0,39538000.0,39539000.0,0.90838067,35917004.68308
2022-06-06 20:04:00+00:00,39539000.0,39564000.0,39539000.0,39563000.0,2.03687664,80565749.59631
2022-06-06 20:05:00+00:00,39563000.0,39565000.0,39556000.0,39565000.0,2.44498931,96730021.99861
2022-06-06 20:06:00+00:00,39565000.0,39637000.0,39548000.0,39622000.0,11.33200314,448564954.54276
2022-06-06 20:07:00+00:00,39637000.0,39640000.0,39575000.0,39580000.0,1.79467495,71119676.09298
2022-06-06 20:08:00+00:00,39580000.0,39580000.0,39539000.0,39569000.0,1.52224621,60231797.75079
2022-06-06 20:09:00+00:00,39540000.0,39597000.0,39540000.0,39541000.0,5.88749159,233013283.1497
2022-06-06 20:10:00+00:00,39541000.0,39562000.0,39505000.0,39505000.0,1.70034683,67205734.56713
2022-06-06 20:11:00+00:00,39505000.0,39518000.0,39500000.0,39506000.0,1.46474653,57861361.54453
2022-06-06 20:12:00+00:00,39504000.0,39505000.0,39463000.0,39463000.0,2.31694254,91468977.84324
2022-06-06 20:13:00+00:00,39463000.0,39490000.0,39462000.0,39486000.0,1.56998443,61978026.80669
2022-06-06 20:14:00+00:00,39486000.0,39502000.0,39474000.0,39502000.0,0.72892477,28790479.41145
2022-06-06 20:15:00+00:00,39490000.0,39501000.0,39473000.0,39485000.0,1.93374585,76344319.59619
2022-06-06 20:16:00+00:00,39499000.0,39501000.0,39486000.0,39499000.0,1.25003083,49371489.61754
2022-06-06 20:17:00+00:00,39499000.0,39539000.0,39499000.0,39524000.0,1.11345706,43990141.25841
2022-06-06 20:18:00+00:00,39522000.0,39531000.0,39510000.0,39524000.0,1.11606061,44108847.27316
2022-06-06 20:19:00+00:00,39536000.0,39550000.0,39486000.0,39489000.0,3.56302213,140817855.08976
2022-06-06 20:20:00+00:00,39489000.0,39490000.0,39465000.0,39467000.0,3.42537972,135236238.27387
2022-06-06 20:21:00+00:00,39465000.0,39471000.0,39440000.0,39440000.0,2.67024233,105353104.44539
2022-06-06 20:22:00+00:00,39440000.0,39447000.0,39418000.0,39420000.0,2.54652194,100409044.42244
2022-06-06 20:23:00+00:00,39420000.0,39425000.0,39365000.0,39366000.0,5.99464516,236161627.46105
2022-06-06 20:24:00+00:00,39367000.0,39443000.0,39366000.0,39410000.0,3.27195292,128877655.14539
2022-06-06 20:25:00+00:00,39410000.0,39447000.0,39410000.0,39414000.0,2.34785805,92579883.29771
2022-06-06 20:26:00+00:00,39447000.0,39449000.0,39412000.0,39416000.0,1.93527608,76308281.34531
2022-06-06 20:27:00+00:00,39419000.0,39451000.0,39415000.0,39415000.0,2.17495739,85781935.47814
2022-06-06 20:28:00+00:00,39414000.0,39448000.0,39400000.0,39400000.0,2.13568314,84201654.86895
2022-06-06 20:29:00+00:00,39423000.0,39425000.0,39391000.0,39422000.0,1.27466187,50227264.41147
2022-06-06 20:30:00+00:00,39397000.0,39482000.0,39397000.0,39481000.0,5.39545104,212834727.6535
2022-06-06 20:31:00+00:00,39481000.0,39485000.0,39439000.0,39482000.0,2.07410309,81879168.07479
2022-06-06 20:32:00+00:00,39482000.0,39487000.0,39412000.0,39425000.0,1.06879253,42169529.10808
2022-06-06 20:33:00+00:00,39442000.0,39456000.0,39425000.0,39452000.0,0.72078288,28425565.30943
2022-06-06 20:34:00+00:00,39426000.0,39455000.0,39426000.0,39427000.0,3.59664123,141828198.60613
2022-06-06 20:35:00+00:00,39428000.0,39456000.0,39427000.0,39430000.0,1.97561371,77920204.78136
2022-06-06 20:36:00+00:00,39451000.0,39465000.0,39427000.0,39429000.0,1.87748532,74064071.71416
2022-06-06 20:37:00+00:00,39449000.0,39451000.0,39427000.0,39428000.0,3.44250019,135758746.5777
2022-06-06 20:38:00+00:00,39443000.0,39451000.0,39428000.0,39429000.0,7.14354514,281694896.30357
2022-06-06 20:39:00+00:00,39428000.0,39450000.0,39426000.0,39429000.0,2.397699,94541237.22684
2022-06-06 20:40:00+00:00,39429000.0,39470000.0,39413000.0,39434000.0,1.80374809,71154464.78767
2022-06-06 20:41:00+00:00,39434000.0,39463000.0,39414000.0,39431000.0,0.82000372,32340109.95526
2022-06-06 20:42:00+00:00,39443000.0,39454000.0,39383000.0,39430000.0,2.19385082,86449944.86377
